startframe	starttime	endframe	endtime
0	0.000	3	0.125
3	0.125	18	0.751
18	0.751	33	1.376
33	1.376	48	2.002
48	2.002	64	2.669
64	2.669	83	3.462
83	3.462	105	4.379
105	4.379	120	5.005
120	5.005	141	5.881
141	5.881	186	7.758
186	7.758	241	10.052
241	10.052	286	11.929
286	11.929	316	13.180
316	13.180	411	17.142
411	17.142	451	18.810
451	18.810	466	19.436
466	19.436	500	20.854
500	20.854	526	21.939
526	21.939	556	23.190
556	23.190	571	23.815
571	23.815	586	24.441
586	24.441	601	25.067
601	25.067	616	25.692
616	25.692	631	26.318
631	26.318	646	26.944
646	26.944	661	27.569
661	27.569	676	28.195
676	28.195	691	28.820
691	28.820	706	29.446
706	29.446	721	30.072
721	30.072	736	30.697
736	30.697	751	31.323
751	31.323	766	31.949
766	31.949	781	32.574
781	32.574	796	33.200
796	33.200	812	33.867
812	33.867	827	34.493
827	34.493	847	35.327
847	35.327	886	36.954
886	36.954	902	37.621
902	37.621	918	38.288
918	38.288	933	38.914
933	38.914	951	39.665
951	39.665	968	40.374
968	40.374	988	41.208
988	41.208	1005	41.917
1005	41.917	1021	42.584
1021	42.584	1041	43.418
1041	43.418	1061	44.253
1061	44.253	1077	44.920
1077	44.920	1095	45.671
1095	45.671	1111	46.338
1111	46.338	1126	46.964
1126	46.964	1141	47.589
1141	47.589	1159	48.340
1159	48.340	1179	49.174
1179	49.174	1195	49.841
1195	49.841	1216	50.717
1216	50.717	1233	51.426
1233	51.426	1250	52.135
1250	52.135	1268	52.886
1268	52.886	1285	53.595
1285	53.595	1306	54.471
1306	54.471	1321	55.097
1321	55.097	1337	55.764
1337	55.764	1353	56.431
1353	56.431	1368	57.057
1368	57.057	1389	57.933
1389	57.933	1405	58.600
1405	58.600	1422	59.309
1422	59.309	1439	60.018
1439	60.018	1455	60.686
1455	60.686	1472	61.395
1472	61.395	1487	62.020
1487	62.020	1505	62.771
1505	62.771	1521	63.438
1521	63.438	1538	64.147
1538	64.147	1555	64.856
1555	64.856	1570	65.482
1570	65.482	1587	66.191
1587	66.191	1604	66.900
1604	66.900	1622	67.651
1622	67.651	1638	68.318
1638	68.318	1654	68.986
1654	68.986	1670	69.653
1670	69.653	1686	70.320
1686	70.320	1704	71.071
1704	71.071	1719	71.697
1719	71.697	1735	72.364
1735	72.364	1750	72.990
1750	72.990	1765	73.615
1765	73.615	1782	74.324
1782	74.324	1797	74.950
1797	74.950	1814	75.659
1814	75.659	1831	76.368
1831	76.368	1847	77.035
1847	77.035	1867	77.869
1867	77.869	1883	78.537
1883	78.537	1900	79.246
1900	79.246	1916	79.913
1916	79.913	1937	80.789
1937	80.789	1953	81.456
1953	81.456	1969	82.124
1969	82.124	1985	82.791
1985	82.791	2000	83.417
2000	83.417	2016	84.084
2016	84.084	2034	84.835
2034	84.835	2050	85.502
2050	85.502	2066	86.169
2066	86.169	2082	86.837
2082	86.837	2098	87.504
2098	87.504	2114	88.171
2114	88.171	2129	88.797
2129	88.797	2146	89.506
2146	89.506	2162	90.173
2162	90.173	2178	90.841
2178	90.841	2194	91.508
2194	91.508	2211	92.217
2211	92.217	2226	92.843
2226	92.843	2250	93.844
2250	93.844	2266	94.511
2266	94.511	2281	95.137
2281	95.137	2297	95.804
2297	95.804	2313	96.471
2313	96.471	2329	97.139
2329	97.139	2345	97.806
2345	97.806	2361	98.473
2361	98.473	2376	99.099
2376	99.099	2393	99.808
2393	99.808	2410	100.517
2410	100.517	2427	101.226
2427	101.226	2442	101.852
2442	101.852	2458	102.519
2458	102.519	2474	103.186
2474	103.186	2490	103.854
2490	103.854	2505	104.479
2505	104.479	2520	105.105
2520	105.105	2538	105.856
2538	105.856	2554	106.523
2554	106.523	2571	107.232
2571	107.232	2592	108.108
2592	108.108	2609	108.817
2609	108.817	2626	109.526
2626	109.526	2641	110.152
2641	110.152	2656	110.777
2656	110.777	2671	111.403
2671	111.403	2686	112.029
2686	112.029	2702	112.696
2702	112.696	2719	113.405
2719	113.405	2736	114.114
2736	114.114	2755	114.906
2755	114.906	2770	115.532
2770	115.532	2787	116.241
2787	116.241	2804	116.950
2804	116.950	2821	117.659
2821	117.659	2836	118.285
2836	118.285	2851	118.910
2851	118.910	2866	119.536
2866	119.536	2881	120.162
2881	120.162	2896	120.787
2896	120.787	2911	121.413
2911	121.413	2927	122.080
2927	122.080	2943	122.748
2943	122.748	2961	123.498
2961	123.498	2978	124.207
2978	124.207	3000	125.125
3000	125.125	3016	125.792
3016	125.792	3031	126.418
3031	126.418	3046	127.044
3046	127.044	3061	127.669
3061	127.669	3076	128.295
3076	128.295	3092	128.962
3092	128.962	3108	129.629
3108	129.629	3125	130.339
3125	130.339	3140	130.964
3140	130.964	3158	131.715
3158	131.715	3174	132.382
3174	132.382	3192	133.133
3192	133.133	3209	133.842
3209	133.842	3225	134.509
3225	134.509	3240	135.135
3240	135.135	3256	135.802
3256	135.802	3272	136.470
3272	136.470	3289	137.179
3289	137.179	3305	137.846
3305	137.846	3320	138.472
3320	138.472	3336	139.139
3336	139.139	3356	139.973
3356	139.973	3372	140.641
3372	140.641	3389	141.350
3389	141.350	3406	142.059
3406	142.059	3421	142.684
3421	142.684	3437	143.352
3437	143.352	3453	144.019
3453	144.019	3475	144.936
3475	144.936	3491	145.604
3491	145.604	3509	146.355
3509	146.355	3525	147.022
3525	147.022	3542	147.731
3542	147.731	3558	148.398
3558	148.398	3576	149.149
3576	149.149	3591	149.775
3591	149.775	3612	150.650
3612	150.650	3629	151.360
3629	151.360	3644	151.985
3644	151.985	3661	152.694
3661	152.694	3676	153.320
3676	153.320	3691	153.945
3691	153.945	3706	154.571
3706	154.571	3722	155.238
3722	155.238	3738	155.906
3738	155.906	3764	156.990
3764	156.990	3781	157.699
3781	157.699	3801	158.533
3801	158.533	3821	159.368
3821	159.368	3839	160.118
3839	160.118	3856	160.827
3856	160.827	3871	161.453
3871	161.453	3886	162.079
3886	162.079	3901	162.704
3901	162.704	3916	163.330
3916	163.330	3932	163.997
3932	163.997	3953	164.873
3953	164.873	3968	165.499
3968	165.499	3992	166.500
3992	166.500	4009	167.209
4009	167.209	4026	167.918
4026	167.918	4042	168.585
4042	168.585	4058	169.252
4058	169.252	4079	170.128
4079	170.128	4096	170.837
4096	170.837	4111	171.463
