startframe	starttime	endframe	endtime
0	0.000	161	5.372
161	5.372	176	5.873
176	5.873	191	6.373
191	6.373	206	6.874
206	6.874	221	7.374
221	7.374	238	7.941
238	7.941	253	8.442
253	8.442	269	8.976
269	8.976	284	9.476
284	9.476	302	10.077
302	10.077	318	10.611
318	10.611	337	11.245
337	11.245	357	11.912
357	11.912	377	12.579
377	12.579	392	13.080
392	13.080	411	13.714
411	13.714	427	14.248
427	14.248	442	14.748
442	14.748	464	15.482
464	15.482	487	16.250
487	16.250	509	16.984
509	16.984	533	17.784
533	17.784	548	18.285
548	18.285	565	18.852
565	18.852	582	19.419
582	19.419	599	19.987
599	19.987	620	20.687
620	20.687	636	21.221
636	21.221	654	21.822
654	21.822	673	22.456
673	22.456	699	23.323
699	23.323	716	23.891
716	23.891	731	24.391
731	24.391	746	24.892
746	24.892	766	25.559
766	25.559	785	26.193
785	26.193	807	26.927
807	26.927	823	27.461
823	27.461	840	28.028
840	28.028	865	28.862
865	28.862	881	29.396
881	29.396	897	29.930
897	29.930	916	30.564
916	30.564	931	31.064
931	31.064	949	31.665
949	31.665	965	32.199
965	32.199	980	32.699
980	32.699	998	33.300
998	33.300	1013	33.800
1013	33.800	1028	34.301
1028	34.301	1043	34.801
1043	34.801	1058	35.302
1058	35.302	1073	35.802
1073	35.802	1088	36.303
1088	36.303	1103	36.803
1103	36.803	1118	37.304
1118	37.304	1133	37.804
1133	37.804	1148	38.305
1148	38.305	1163	38.805
1163	38.805	1178	39.306
1178	39.306	1193	39.806
1193	39.806	1208	40.307
1208	40.307	1223	40.807
1223	40.807	1238	41.308
1238	41.308	1253	41.808
1253	41.808	1268	42.309
1268	42.309	1283	42.809
1283	42.809	1298	43.310
1298	43.310	1313	43.810
1313	43.810	1330	44.378
1330	44.378	1345	44.878
1345	44.878	1361	45.412
1361	45.412	1377	45.946
1377	45.946	1396	46.580
1396	46.580	1411	47.080
1411	47.080	1426	47.581
1426	47.581	1442	48.115
1442	48.115	1457	48.615
1457	48.615	1472	49.116
1472	49.116	1487	49.616
1487	49.616	1507	50.284
1507	50.284	1523	50.817
1523	50.817	1538	51.318
1538	51.318	1553	51.818
1553	51.818	1568	52.319
1568	52.319	1583	52.819
1583	52.819	1598	53.320
1598	53.320	1616	53.921
1616	53.921	1631	54.421
1631	54.421	1646	54.922
1646	54.922	1661	55.422
1661	55.422	1676	55.923
1676	55.923	1691	56.423
1691	56.423	1706	56.924
1706	56.924	1721	57.424
1721	57.424	1736	57.925
1736	57.925	1751	58.425
1751	58.425	1766	58.926
1766	58.926	1781	59.426
1781	59.426	1796	59.927
1796	59.927	1811	60.427
1811	60.427	1826	60.928
1826	60.928	1841	61.428
1841	61.428	1856	61.929
1856	61.929	1871	62.429
1871	62.429	1886	62.930
1886	62.930	1901	63.430
1901	63.430	1916	63.931
1916	63.931	1931	64.431
1931	64.431	1946	64.932
1946	64.932	1961	65.432
1961	65.432	1976	65.933
1976	65.933	1991	66.433
1991	66.433	2006	66.934
2006	66.934	2021	67.434
2021	67.434	2036	67.935
2036	67.935	2053	68.502
2053	68.502	2068	69.002
2068	69.002	2089	69.703
2089	69.703	2104	70.203
2104	70.203	2119	70.704
2119	70.704	2134	71.204
2134	71.204	2149	71.705
2149	71.705	2164	72.205
2164	72.205	2182	72.806
2182	72.806	2197	73.307
2197	73.307	2214	73.874
2214	73.874	2230	74.408
2230	74.408	2245	74.908
2245	74.908	2260	75.409
2260	75.409	2275	75.909
2275	75.909	2290	76.410
2290	76.410	2305	76.910
2305	76.910	2320	77.411
2320	77.411	2335	77.911
2335	77.911	2351	78.445
2351	78.445	2368	79.012
2368	79.012	2383	79.513
2383	79.513	2398	80.013
2398	80.013	2413	80.514
2413	80.514	2428	81.014
2428	81.014	2444	81.548
2444	81.548	2459	82.049
2459	82.049	2474	82.549
2474	82.549	2489	83.050
2489	83.050	2504	83.550
2504	83.550	2522	84.151
2522	84.151	2540	84.751
2540	84.751	2555	85.252
2555	85.252	2570	85.752
2570	85.752	2585	86.253
2585	86.253	2601	86.787
2601	86.787	2617	87.321
2617	87.321	2632	87.821
2632	87.821	2647	88.322
2647	88.322	2662	88.822
2662	88.822	2680	89.423
2680	89.423	2695	89.923
2695	89.923	2710	90.424
2710	90.424	2725	90.924
2725	90.924	2740	91.425
2740	91.425	2755	91.925
2755	91.925	2770	92.426
2770	92.426	2785	92.926
2785	92.926	2800	93.427
2800	93.427	2815	93.927
2815	93.927	2830	94.428
2830	94.428	2845	94.928
2845	94.928	2860	95.429
2860	95.429	2875	95.929
2875	95.929	2892	96.496
2892	96.496	2909	97.064
2909	97.064	2924	97.564
2924	97.564	2939	98.065
2939	98.065	2954	98.565
2954	98.565	2969	99.066
2969	99.066	2984	99.566
2984	99.566	2999	100.067
2999	100.067	3014	100.567
3014	100.567	3029	101.068
3029	101.068	3044	101.568
3044	101.568	3059	102.069
3059	102.069	3074	102.569
3074	102.569	3089	103.070
3089	103.070	3104	103.570
3104	103.570	3120	104.104
3120	104.104	3140	104.771
3140	104.771	3159	105.405
3159	105.405	3174	105.906
3174	105.906	3189	106.406
3189	106.406	3204	106.907
3204	106.907	3221	107.474
3221	107.474	3237	108.008
3237	108.008	3253	108.542
3253	108.542	3272	109.176
3272	109.176	3290	109.776
3290	109.776	3307	110.344
3307	110.344	3323	110.877
3323	110.877	3338	111.378
3338	111.378	3353	111.878
3353	111.878	3368	112.379
3368	112.379	3383	112.879
3383	112.879	3398	113.380
3398	113.380	3415	113.947
3415	113.947	3430	114.448
3430	114.448	3445	114.948
3445	114.948	3460	115.449
3460	115.449	3475	115.949
3475	115.949	3490	116.450
3490	116.450	3505	116.950
3505	116.950	3520	117.451
3520	117.451	3535	117.951
3535	117.951	3550	118.452
3550	118.452	3565	118.952
3565	118.952	3580	119.453
3580	119.453	3595	119.953
3595	119.953	3610	120.454
3610	120.454	3625	120.954
3625	120.954	3640	121.455
3640	121.455	3655	121.955
3655	121.955	3670	122.456
3670	122.456	3685	122.956
3685	122.956	3700	123.457
3700	123.457	3715	123.957
3715	123.957	3730	124.458
3730	124.458	3745	124.958
3745	124.958	3760	125.459
3760	125.459	3775	125.959
3775	125.959	3790	126.460
3790	126.460	3805	126.960
3805	126.960	3820	127.461
3820	127.461	3835	127.961
3835	127.961	3850	128.462
3850	128.462	3865	128.962
3865	128.962	3881	129.496
3881	129.496	3897	130.030
3897	130.030	3912	130.530
3912	130.530	3928	131.064
3928	131.064	3943	131.565
3943	131.565	3958	132.065
3958	132.065	3973	132.566
3973	132.566	3988	133.066
3988	133.066	4003	133.567
4003	133.567	4018	134.067
4018	134.067	4033	134.568
4033	134.568	4048	135.068
4048	135.068	4063	135.569
4063	135.569	4078	136.069
4078	136.069	4093	136.570
4093	136.570	4108	137.070
4108	137.070	4124	137.604
4124	137.604	4141	138.171
4141	138.171	4156	138.672
4156	138.672	4173	139.239
4173	139.239	4188	139.740
4188	139.740	4203	140.240
4203	140.240	4218	140.741
4218	140.741	4234	141.274
4234	141.274	4249	141.775
4249	141.775	4267	142.376
4267	142.376	4282	142.876
4282	142.876	4297	143.377
4297	143.377	4313	143.910
4313	143.910	4328	144.411
4328	144.411	4343	144.911
4343	144.911	4358	145.412
4358	145.412	4373	145.912
4373	145.912	4388	146.413
4388	146.413	4403	146.913
4403	146.913	4418	147.414
4418	147.414	4434	147.948
4434	147.948	4449	148.448
4449	148.448	4464	148.949
4464	148.949	4479	149.449
4479	149.449	4497	150.050
4497	150.050	4512	150.550
4512	150.550	4527	151.051
4527	151.051	4542	151.551
4542	151.551	4557	152.052
4557	152.052	4572	152.552
4572	152.552	4587	153.053
4587	153.053	4602	153.553
4602	153.553	4617	154.054
4617	154.054	4632	154.554
4632	154.554	4647	155.055
4647	155.055	4662	155.555
4662	155.555	4677	156.056
4677	156.056	4692	156.556
4692	156.556	4707	157.057
4707	157.057	4724	157.624
4724	157.624	4739	158.125
4739	158.125	4758	158.759
4758	158.759	4773	159.259
4773	159.259	4789	159.793
4789	159.793	4804	160.293
4804	160.293	4819	160.794
4819	160.794	4834	161.294
4834	161.294	4849	161.795
4849	161.795	4864	162.295
4864	162.295	4879	162.796
4879	162.796	4894	163.296
4894	163.296	4909	163.797
4909	163.797	4924	164.297
4924	164.297	4940	164.831
4940	164.831	4955	165.332
4955	165.332	4970	165.832
4970	165.832	4985	166.333
4985	166.333	5000	166.833
5000	166.833	5015	167.334
5015	167.334	5031	167.868
5031	167.868	5046	168.368
5046	168.368	5061	168.869
5061	168.869	5077	169.403
5077	169.403	5093	169.936
5093	169.936	5108	170.437
5108	170.437	5123	170.937
5123	170.937	5139	171.471
5139	171.471	5154	171.972
5154	171.972	5169	172.472
5169	172.472	5184	172.973
5184	172.973	5199	173.473
5199	173.473	5214	173.974
5214	173.974	5229	174.474
5229	174.474	5244	174.975
5244	174.975	5261	175.542
5261	175.542	5276	176.043
5276	176.043	5292	176.576
5292	176.576	5310	177.177
5310	177.177	5325	177.678
5325	177.678	5340	178.178
5340	178.178	5355	178.679
5355	178.679	5370	179.179
5370	179.179	5388	179.780
5388	179.780	5403	180.280
5403	180.280	5419	180.814
5419	180.814	5434	181.314
5434	181.314	5449	181.815
