startframe	starttime	endframe	endtime
0	0.000	1	0.033
1	0.033	16	0.534
16	0.534	31	1.034
31	1.034	46	1.535
46	1.535	61	2.035
61	2.035	76	2.536
76	2.536	91	3.036
91	3.036	106	3.537
106	3.537	121	4.037
121	4.037	136	4.538
136	4.538	151	5.038
151	5.038	166	5.539
166	5.539	181	6.039
181	6.039	196	6.540
196	6.540	211	7.040
211	7.040	226	7.541
226	7.541	241	8.041
241	8.041	256	8.542
256	8.542	271	9.042
271	9.042	286	9.543
286	9.543	301	10.043
301	10.043	316	10.544
316	10.544	331	11.044
331	11.044	346	11.545
346	11.545	361	12.045
361	12.045	376	12.546
376	12.546	391	13.046
391	13.046	406	13.547
406	13.547	421	14.047
421	14.047	436	14.548
436	14.548	451	15.048
451	15.048	466	15.549
466	15.549	481	16.049
481	16.049	496	16.550
496	16.550	513	17.117
513	17.117	528	17.618
528	17.618	543	18.118
543	18.118	558	18.619
558	18.619	573	19.119
573	19.119	588	19.620
588	19.620	603	20.120
603	20.120	618	20.621
618	20.621	633	21.121
633	21.121	648	21.622
648	21.622	663	22.122
663	22.122	678	22.623
678	22.623	693	23.123
693	23.123	708	23.624
708	23.624	723	24.124
723	24.124	738	24.625
738	24.625	753	25.125
753	25.125	768	25.626
768	25.626	783	26.126
783	26.126	798	26.627
798	26.627	813	27.127
813	27.127	828	27.628
828	27.628	843	28.128
843	28.128	858	28.629
858	28.629	873	29.129
873	29.129	888	29.630
888	29.630	903	30.130
903	30.130	918	30.631
918	30.631	933	31.131
933	31.131	948	31.632
948	31.632	963	32.132
963	32.132	978	32.633
978	32.633	993	33.133
993	33.133	1008	33.634
1008	33.634	1023	34.134
1023	34.134	1038	34.635
1038	34.635	1053	35.135
1053	35.135	1068	35.636
1068	35.636	1083	36.136
1083	36.136	1098	36.637
1098	36.637	1113	37.137
1113	37.137	1128	37.638
1128	37.638	1143	38.138
1143	38.138	1158	38.639
1158	38.639	1173	39.139
1173	39.139	1188	39.640
1188	39.640	1203	40.140
1203	40.140	1218	40.641
1218	40.641	1233	41.141
1233	41.141	1248	41.642
1248	41.642	1263	42.142
1263	42.142	1278	42.643
1278	42.643	1293	43.143
1293	43.143	1308	43.644
1308	43.644	1323	44.144
1323	44.144	1338	44.645
1338	44.645	1353	45.145
1353	45.145	1368	45.646
1368	45.646	1383	46.146
1383	46.146	1398	46.647
1398	46.647	1413	47.147
1413	47.147	1428	47.648
1428	47.648	1443	48.148
1443	48.148	1458	48.649
1458	48.649	1473	49.149
1473	49.149	1488	49.650
1488	49.650	1503	50.150
1503	50.150	1518	50.651
1518	50.651	1533	51.151
1533	51.151	1548	51.652
1548	51.652	1563	52.152
1563	52.152	1578	52.653
1578	52.653	1593	53.153
1593	53.153	1608	53.654
1608	53.654	1623	54.154
1623	54.154	1638	54.655
1638	54.655	1653	55.155
1653	55.155	1668	55.656
1668	55.656	1683	56.156
1683	56.156	1698	56.657
1698	56.657	1713	57.157
1713	57.157	1728	57.658
1728	57.658	1743	58.158
1743	58.158	1758	58.659
1758	58.659	1773	59.159
1773	59.159	1788	59.660
1788	59.660	1803	60.160
1803	60.160	1818	60.661
1818	60.661	1833	61.161
1833	61.161	1848	61.662
1848	61.662	1863	62.162
1863	62.162	1878	62.663
1878	62.663	1893	63.163
1893	63.163	1908	63.664
1908	63.664	1923	64.164
1923	64.164	1938	64.665
1938	64.665	1953	65.165
1953	65.165	1968	65.666
1968	65.666	1983	66.166
1983	66.166	1998	66.667
1998	66.667	2013	67.167
2013	67.167	2028	67.668
2028	67.668	2043	68.168
2043	68.168	2058	68.669
2058	68.669	2073	69.169
2073	69.169	2088	69.670
2088	69.670	2103	70.170
2103	70.170	2118	70.671
2118	70.671	2133	71.171
2133	71.171	2148	71.672
2148	71.672	2163	72.172
2163	72.172	2178	72.673
2178	72.673	2193	73.173
2193	73.173	2208	73.674
2208	73.674	2223	74.174
2223	74.174	2238	74.675
2238	74.675	2253	75.175
2253	75.175	2268	75.676
2268	75.676	2283	76.176
2283	76.176	2298	76.677
2298	76.677	2313	77.177
2313	77.177	2328	77.678
2328	77.678	2343	78.178
2343	78.178	2358	78.679
2358	78.679	2373	79.179
2373	79.179	2388	79.680
2388	79.680	2403	80.180
2403	80.180	2418	80.681
2418	80.681	2433	81.181
2433	81.181	2448	81.682
2448	81.682	2463	82.182
2463	82.182	2478	82.683
2478	82.683	2493	83.183
2493	83.183	2508	83.684
2508	83.684	2523	84.184
2523	84.184	2538	84.685
2538	84.685	2553	85.185
2553	85.185	2568	85.686
2568	85.686	2583	86.186
2583	86.186	2598	86.687
2598	86.687	2613	87.187
2613	87.187	2628	87.688
2628	87.688	2643	88.188
2643	88.188	2658	88.689
2658	88.689	2673	89.189
2673	89.189	2688	89.690
2688	89.690	2703	90.190
2703	90.190	2718	90.691
2718	90.691	2733	91.191
2733	91.191	2748	91.692
2748	91.692	2763	92.192
2763	92.192	2778	92.693
2778	92.693	2793	93.193
2793	93.193	2808	93.694
2808	93.694	2823	94.194
2823	94.194	2838	94.695
2838	94.695	2853	95.195
2853	95.195	2868	95.696
2868	95.696	2883	96.196
2883	96.196	2898	96.697
2898	96.697	2913	97.197
2913	97.197	2928	97.698
2928	97.698	2943	98.198
2943	98.198	2958	98.699
2958	98.699	2973	99.199
2973	99.199	2988	99.700
2988	99.700	3003	100.200
3003	100.200	3018	100.701
3018	100.701	3033	101.201
3033	101.201	3048	101.702
3048	101.702	3063	102.202
3063	102.202	3078	102.703
3078	102.703	3093	103.203
3093	103.203	3108	103.704
3108	103.704	3123	104.204
3123	104.204	3138	104.705
3138	104.705	3153	105.205
3153	105.205	3168	105.706
3168	105.706	3183	106.206
3183	106.206	3198	106.707
3198	106.707	3213	107.207
3213	107.207	3228	107.708
3228	107.708	3243	108.208
3243	108.208	3258	108.709
3258	108.709	3273	109.209
3273	109.209	3288	109.710
3288	109.710	3303	110.210
3303	110.210	3318	110.711
3318	110.711	3333	111.211
3333	111.211	3348	111.712
3348	111.712	3363	112.212
3363	112.212	3378	112.713
3378	112.713	3393	113.213
3393	113.213	3408	113.714
3408	113.714	3423	114.214
3423	114.214	3438	114.715
3438	114.715	3453	115.215
3453	115.215	3468	115.716
3468	115.716	3483	116.216
3483	116.216	3498	116.717
3498	116.717	3513	117.217
3513	117.217	3528	117.718
3528	117.718	3543	118.218
3543	118.218	3558	118.719
3558	118.719	3573	119.219
