startframe	starttime	endframe	endtime
0	0.000	3	0.120
3	0.120	18	0.720
18	0.720	33	1.320
33	1.320	48	1.920
48	1.920	63	2.520
63	2.520	78	3.120
78	3.120	93	3.720
93	3.720	108	4.320
108	4.320	123	4.920
123	4.920	138	5.520
138	5.520	153	6.120
153	6.120	168	6.720
168	6.720	183	7.320
183	7.320	198	7.920
198	7.920	213	8.520
213	8.520	228	9.120
228	9.120	243	9.720
243	9.720	258	10.320
258	10.320	273	10.920
273	10.920	288	11.520
288	11.520	303	12.120
303	12.120	318	12.720
318	12.720	333	13.320
333	13.320	348	13.920
348	13.920	363	14.520
363	14.520	378	15.120
378	15.120	393	15.720
393	15.720	408	16.320
408	16.320	423	16.920
423	16.920	439	17.560
439	17.560	455	18.200
455	18.200	470	18.800
470	18.800	485	19.400
485	19.400	500	20.000
500	20.000	515	20.600
515	20.600	530	21.200
530	21.200	545	21.800
545	21.800	560	22.400
560	22.400	575	23.000
575	23.000	590	23.600
590	23.600	605	24.200
605	24.200	620	24.800
620	24.800	635	25.400
635	25.400	650	26.000
650	26.000	665	26.600
665	26.600	680	27.200
680	27.200	695	27.800
695	27.800	710	28.400
710	28.400	725	29.000
725	29.000	740	29.600
740	29.600	755	30.200
755	30.200	770	30.800
770	30.800	787	31.480
787	31.480	802	32.080
802	32.080	817	32.680
817	32.680	832	33.280
832	33.280	847	33.880
847	33.880	862	34.480
862	34.480	877	35.080
877	35.080	892	35.680
892	35.680	907	36.280
907	36.280	922	36.880
922	36.880	937	37.480
937	37.480	952	38.080
952	38.080	967	38.680
967	38.680	982	39.280
982	39.280	997	39.880
997	39.880	1012	40.480
1012	40.480	1027	41.080
1027	41.080	1042	41.680
1042	41.680	1057	42.280
1057	42.280	1072	42.880
1072	42.880	1087	43.480
1087	43.480	1102	44.080
1102	44.080	1117	44.680
1117	44.680	1132	45.280
1132	45.280	1147	45.880
1147	45.880	1162	46.480
1162	46.480	1177	47.080
1177	47.080	1192	47.680
1192	47.680	1207	48.280
1207	48.280	1222	48.880
1222	48.880	1237	49.480
1237	49.480	1252	50.080
1252	50.080	1267	50.680
1267	50.680	1282	51.280
1282	51.280	1297	51.880
1297	51.880	1312	52.480
1312	52.480	1327	53.080
1327	53.080	1342	53.680
1342	53.680	1357	54.280
1357	54.280	1372	54.880
1372	54.880	1387	55.480
1387	55.480	1402	56.080
1402	56.080	1417	56.680
1417	56.680	1432	57.280
1432	57.280	1447	57.880
1447	57.880	1462	58.480
1462	58.480	1477	59.080
1477	59.080	1492	59.680
1492	59.680	1507	60.280
1507	60.280	1522	60.880
1522	60.880	1537	61.480
1537	61.480	1552	62.080
1552	62.080	1567	62.680
1567	62.680	1582	63.280
1582	63.280	1597	63.880
1597	63.880	1612	64.480
1612	64.480	1627	65.080
1627	65.080	1642	65.680
1642	65.680	1657	66.280
1657	66.280	1672	66.880
1672	66.880	1687	67.480
1687	67.480	1702	68.080
1702	68.080	1717	68.680
1717	68.680	1732	69.280
1732	69.280	1747	69.880
1747	69.880	1762	70.480
1762	70.480	1777	71.080
1777	71.080	1792	71.680
1792	71.680	1807	72.280
1807	72.280	1822	72.880
1822	72.880	1837	73.480
1837	73.480	1852	74.080
1852	74.080	1867	74.680
1867	74.680	1882	75.280
1882	75.280	1897	75.880
1897	75.880	1912	76.480
1912	76.480	1927	77.080
1927	77.080	1942	77.680
1942	77.680	1957	78.280
1957	78.280	1972	78.880
1972	78.880	1987	79.480
1987	79.480	2002	80.080
2002	80.080	2017	80.680
2017	80.680	2032	81.280
2032	81.280	2047	81.880
2047	81.880	2062	82.480
2062	82.480	2077	83.080
2077	83.080	2092	83.680
2092	83.680	2107	84.280
2107	84.280	2122	84.880
2122	84.880	2137	85.480
