startframe	starttime	endframe	endtime
0	0.000	21	0.701
21	0.701	95	3.170
95	3.170	200	6.673
200	6.673	264	8.809
264	8.809	343	11.445
343	11.445	450	15.015
450	15.015	513	17.117
513	17.117	528	17.618
528	17.618	543	18.118
543	18.118	558	18.619
558	18.619	573	19.119
573	19.119	588	19.620
588	19.620	603	20.120
603	20.120	618	20.621
618	20.621	633	21.121
633	21.121	648	21.622
648	21.622	701	23.390
701	23.390	767	25.592
767	25.592	782	26.093
782	26.093	797	26.593
797	26.593	812	27.094
812	27.094	827	27.594
827	27.594	842	28.095
842	28.095	857	28.595
857	28.595	872	29.096
872	29.096	887	29.596
887	29.596	902	30.097
902	30.097	917	30.597
917	30.597	932	31.098
932	31.098	947	31.598
947	31.598	962	32.099
962	32.099	977	32.599
977	32.599	992	33.100
992	33.100	1007	33.600
1007	33.600	1022	34.101
1022	34.101	1037	34.601
1037	34.601	1052	35.102
1052	35.102	1067	35.602
1067	35.602	1082	36.103
1082	36.103	1097	36.603
1097	36.603	1112	37.104
1112	37.104	1127	37.604
1127	37.604	1142	38.105
1142	38.105	1157	38.605
1157	38.605	1172	39.106
1172	39.106	1187	39.606
1187	39.606	1202	40.107
1202	40.107	1217	40.607
1217	40.607	1232	41.108
1232	41.108	1247	41.608
1247	41.608	1262	42.109
1262	42.109	1277	42.609
1277	42.609	1292	43.110
1292	43.110	1307	43.610
1307	43.610	1322	44.111
1322	44.111	1337	44.611
1337	44.611	1352	45.112
1352	45.112	1367	45.612
1367	45.612	1382	46.113
1382	46.113	1397	46.613
1397	46.613	1412	47.114
1412	47.114	1427	47.614
1427	47.614	1442	48.115
1442	48.115	1504	50.183
1504	50.183	1583	52.819
1583	52.819	1690	56.390
1690	56.390	1754	58.525
1754	58.525	1828	60.994
1828	60.994	1940	64.731
1940	64.731	2001	66.767
2001	66.767	2016	67.267
2016	67.267	2031	67.768
2031	67.768	2046	68.268
2046	68.268	2061	68.769
2061	68.769	2076	69.269
2076	69.269	2091	69.770
2091	69.770	2106	70.270
2106	70.270	2121	70.771
2121	70.771	2186	72.940
2186	72.940	2271	75.776
2271	75.776	2374	79.212
2374	79.212	2497	83.317
2497	83.317	2512	83.817
2512	83.817	2527	84.318
2527	84.318	2542	84.818
2542	84.818	2557	85.319
2557	85.319	2572	85.819
2572	85.819	2587	86.320
2587	86.320	2602	86.820
2602	86.820	2617	87.321
2617	87.321	2683	89.523
2683	89.523	2745	91.591
2745	91.591	2807	93.660
2807	93.660	2901	96.797
2901	96.797	2916	97.297
2916	97.297	2931	97.798
2931	97.798	2946	98.298
2946	98.298	2961	98.799
2961	98.799	2976	99.299
2976	99.299	2991	99.800
2991	99.800	3006	100.300
3006	100.300	3021	100.801
3021	100.801	3036	101.301
3036	101.301	3051	101.802
3051	101.802	3066	102.302
3066	102.302	3081	102.803
3081	102.803	3096	103.303
3096	103.303	3111	103.804
3111	103.804	3126	104.304
3126	104.304	3141	104.805
3141	104.805	3156	105.305
3156	105.305	3171	105.806
3171	105.806	3186	106.306
3186	106.306	3201	106.807
3201	106.807	3216	107.307
3216	107.307	3231	107.808
3231	107.808	3246	108.308
3246	108.308	3261	108.809
3261	108.809	3276	109.309
3276	109.309	3291	109.810
3291	109.810	3306	110.310
3306	110.310	3321	110.811
3321	110.811	3336	111.311
