startframe	starttime	endframe	endtime
0	0.000	58	1.935
58	1.935	73	2.436
73	2.436	88	2.936
88	2.936	103	3.437
103	3.437	122	4.071
122	4.071	137	4.571
137	4.571	152	5.072
152	5.072	171	5.706
171	5.706	186	6.206
186	6.206	201	6.707
201	6.707	216	7.207
216	7.207	231	7.708
231	7.708	246	8.208
246	8.208	261	8.709
261	8.709	276	9.209
276	9.209	291	9.710
291	9.710	306	10.210
306	10.210	321	10.711
321	10.711	336	11.211
336	11.211	351	11.712
351	11.712	366	12.212
366	12.212	381	12.713
381	12.713	396	13.213
396	13.213	411	13.714
411	13.714	426	14.214
426	14.214	441	14.715
441	14.715	456	15.215
456	15.215	471	15.716
471	15.716	486	16.216
486	16.216	501	16.717
501	16.717	516	17.217
516	17.217	531	17.718
531	17.718	546	18.218
546	18.218	561	18.719
561	18.719	576	19.219
576	19.219	591	19.720
591	19.720	606	20.220
606	20.220	621	20.721
621	20.721	636	21.221
636	21.221	651	21.722
651	21.722	666	22.222
666	22.222	681	22.723
681	22.723	696	23.223
696	23.223	711	23.724
711	23.724	726	24.224
726	24.224	741	24.725
741	24.725	756	25.225
756	25.225	776	25.893
776	25.893	1009	33.667
1009	33.667	1226	40.908
1226	40.908	1259	42.009
1259	42.009	1509	50.350
1509	50.350	1606	53.587
1606	53.587	1950	65.065
1950	65.065	1965	65.566
1965	65.566	1980	66.066
1980	66.066	1996	66.600
1996	66.600	2011	67.100
2011	67.100	2026	67.601
2026	67.601	2041	68.101
2041	68.101	2056	68.602
2056	68.602	2071	69.102
2071	69.102	2086	69.603
2086	69.603	2101	70.103
2101	70.103	2116	70.604
2116	70.604	2131	71.104
2131	71.104	2146	71.605
2146	71.605	2161	72.105
2161	72.105	2177	72.639
2177	72.639	2192	73.140
2192	73.140	2207	73.640
2207	73.640	2222	74.141
2222	74.141	2237	74.641
2237	74.641	2252	75.142
2252	75.142	2267	75.642
2267	75.642	2282	76.143
2282	76.143	2297	76.643
2297	76.643	2312	77.144
2312	77.144	2327	77.644
2327	77.644	2342	78.145
2342	78.145	2357	78.645
2357	78.645	2372	79.146
2372	79.146	2387	79.646
2387	79.646	2402	80.147
2402	80.147	2417	80.647
2417	80.647	2432	81.148
2432	81.148	2447	81.648
2447	81.648	2462	82.149
