startframe	starttime	endframe	endtime
0	0.000	17	0.680
17	0.680	756	30.240
756	30.240	807	32.280
807	32.280	832	33.280
832	33.280	1026	41.040
1026	41.040	1048	41.920
1048	41.920	1063	42.520
1063	42.520	1131	45.240
1131	45.240	1160	46.400
1160	46.400	1323	52.920
1323	52.920	1464	58.560
1464	58.560	2502	100.080
2502	100.080	2941	117.640
2941	117.640	3029	121.160
3029	121.160	3044	121.760
3044	121.760	3329	133.160
3329	133.160	4024	160.960
4024	160.960	4721	188.840
4721	188.840	4737	189.480
4737	189.480	4764	190.560
4764	190.560	4790	191.600
4790	191.600	4877	195.080
4877	195.080	4913	196.520
4913	196.520	4971	198.840
4971	198.840	5099	203.960
5099	203.960	5115	204.600
5115	204.600	5138	205.520
5138	205.520	5476	219.040
5476	219.040	5522	220.880
5522	220.880	5537	221.480
5537	221.480	5671	226.840
5671	226.840	5969	238.760
5969	238.760	6110	244.400
6110	244.400	6484	259.360
6484	259.360	6514	260.560
6514	260.560	6530	261.200
6530	261.200	6624	264.960
6624	264.960	6701	268.040
6701	268.040	6737	269.480
6737	269.480	7198	287.920
7198	287.920	7213	288.520
7213	288.520	7229	289.160
7229	289.160	7282	291.280
7282	291.280	7436	297.440
7436	297.440	7476	299.040
7476	299.040	7491	299.640
7491	299.640	7509	300.360
7509	300.360	7525	301.000
7525	301.000	7547	301.880
7547	301.880	7569	302.760
7569	302.760	7595	303.800
7595	303.800	7611	304.440
7611	304.440	7632	305.280
7632	305.280	7647	305.880
7647	305.880	7667	306.680
7667	306.680	7900	316.000
7900	316.000	8083	323.320
8083	323.320	8215	328.600
8215	328.600	8252	330.080
8252	330.080	8270	330.800
8270	330.800	8287	331.480
8287	331.480	8348	333.920
8348	333.920	8381	335.240
8381	335.240	8407	336.280
8407	336.280	8428	337.120
8428	337.120	8449	337.960
8449	337.960	8473	338.920
8473	338.920	8502	340.080
8502	340.080	8597	343.880
8597	343.880	8806	352.240
8806	352.240	9484	379.360
9484	379.360	9555	382.200
9555	382.200	9608	384.320
9608	384.320	10104	404.160
10104	404.160	10120	404.800
10120	404.800	10157	406.280
10157	406.280	10284	411.360
10284	411.360	10306	412.240
10306	412.240	11216	448.640
11216	448.640	11337	453.480
11337	453.480	11359	454.360
11359	454.360	11376	455.040
11376	455.040	11421	456.840
11421	456.840	11647	465.880
11647	465.880	11663	466.520
11663	466.520	11793	471.720
11793	471.720	11972	478.880
11972	478.880	12098	483.920
12098	483.920	12242	489.680
12242	489.680	12272	490.880
12272	490.880	12335	493.400
12335	493.400	12361	494.440
12361	494.440	12382	495.280
12382	495.280	12423	496.920
12423	496.920	12438	497.520
12438	497.520	12507	500.280
12507	500.280	12523	500.920
12523	500.920	12604	504.160
12604	504.160	12780	511.200
12780	511.200	13814	552.560
