startframe	starttime	endframe	endtime
0	0.000	92	3.070
92	3.070	109	3.637
109	3.637	124	4.137
124	4.137	139	4.638
139	4.638	154	5.138
154	5.138	169	5.639
169	5.639	184	6.139
184	6.139	199	6.640
199	6.640	214	7.140
214	7.140	229	7.641
229	7.641	244	8.141
244	8.141	259	8.642
259	8.642	274	9.142
274	9.142	289	9.643
289	9.643	304	10.143
304	10.143	319	10.644
319	10.644	334	11.144
334	11.144	349	11.645
349	11.645	364	12.145
364	12.145	379	12.646
379	12.646	394	13.146
394	13.146	409	13.647
409	13.647	424	14.147
424	14.147	439	14.648
439	14.648	454	15.148
454	15.148	469	15.649
469	15.649	484	16.149
484	16.149	499	16.650
499	16.650	514	17.150
514	17.150	529	17.651
529	17.651	544	18.151
544	18.151	559	18.652
559	18.652	574	19.152
574	19.152	589	19.653
589	19.653	604	20.153
604	20.153	619	20.654
619	20.654	634	21.154
634	21.154	649	21.655
649	21.655	664	22.155
664	22.155	679	22.656
679	22.656	694	23.156
694	23.156	709	23.657
709	23.657	724	24.157
724	24.157	739	24.658
739	24.658	754	25.158
754	25.158	769	25.659
769	25.659	785	26.193
785	26.193	800	26.693
800	26.693	815	27.194
815	27.194	842	28.095
842	28.095	857	28.595
857	28.595	872	29.096
872	29.096	887	29.596
887	29.596	902	30.097
902	30.097	917	30.597
917	30.597	933	31.131
933	31.131	948	31.632
948	31.632	963	32.132
963	32.132	978	32.633
978	32.633	993	33.133
993	33.133	1008	33.634
1008	33.634	1023	34.134
1023	34.134	1038	34.635
1038	34.635	1053	35.135
1053	35.135	1068	35.636
1068	35.636	1083	36.136
1083	36.136	1098	36.637
1098	36.637	1113	37.137
1113	37.137	1128	37.638
1128	37.638	1143	38.138
1143	38.138	1158	38.639
1158	38.639	1173	39.139
1173	39.139	1188	39.640
1188	39.640	1203	40.140
1203	40.140	1218	40.641
1218	40.641	1233	41.141
1233	41.141	1248	41.642
1248	41.642	1263	42.142
1263	42.142	1278	42.643
1278	42.643	1293	43.143
1293	43.143	1308	43.644
1308	43.644	1323	44.144
1323	44.144	1338	44.645
1338	44.645	1353	45.145
1353	45.145	1368	45.646
1368	45.646	1383	46.146
1383	46.146	1398	46.647
1398	46.647	1413	47.147
1413	47.147	1428	47.648
1428	47.648	1446	48.248
1446	48.248	1461	48.749
1461	48.749	1476	49.249
1476	49.249	1491	49.750
1491	49.750	1506	50.250
1506	50.250	1521	50.751
1521	50.751	1591	53.086
1591	53.086	1606	53.587
1606	53.587	1621	54.087
1621	54.087	1636	54.588
1636	54.588	1651	55.088
1651	55.088	1666	55.589
1666	55.589	1681	56.089
1681	56.089	1696	56.590
1696	56.590	1711	57.090
1711	57.090	1726	57.591
1726	57.591	1741	58.091
1741	58.091	1756	58.592
1756	58.592	1771	59.092
1771	59.092	1786	59.593
1786	59.593	1801	60.093
1801	60.093	1816	60.594
1816	60.594	1831	61.094
1831	61.094	1846	61.595
1846	61.595	1861	62.095
1861	62.095	1876	62.596
1876	62.596	1891	63.096
1891	63.096	1906	63.597
1906	63.597	1921	64.097
1921	64.097	1936	64.598
1936	64.598	1951	65.098
1951	65.098	1966	65.599
1966	65.599	1981	66.099
1981	66.099	1996	66.600
1996	66.600	2011	67.100
2011	67.100	2026	67.601
2026	67.601	2041	68.101
2041	68.101	2056	68.602
2056	68.602	2071	69.102
2071	69.102	2086	69.603
2086	69.603	2101	70.103
2101	70.103	2116	70.604
2116	70.604	2131	71.104
2131	71.104	2146	71.605
2146	71.605	2161	72.105
2161	72.105	2176	72.606
2176	72.606	2191	73.106
2191	73.106	2206	73.607
2206	73.607	2221	74.107
2221	74.107	2236	74.608
2236	74.608	2251	75.108
2251	75.108	2266	75.609
2266	75.609	2281	76.109
2281	76.109	2296	76.610
2296	76.610	2311	77.110
2311	77.110	2326	77.611
2326	77.611	2341	78.111
2341	78.111	2356	78.612
2356	78.612	2371	79.112
2371	79.112	2386	79.613
2386	79.613	2401	80.113
2401	80.113	2416	80.614
2416	80.614	2431	81.114
2431	81.114	2446	81.615
2446	81.615	2461	82.115
2461	82.115	2476	82.616
2476	82.616	2491	83.116
2491	83.116	2506	83.617
2506	83.617	2521	84.117
2521	84.117	2536	84.618
2536	84.618	2551	85.118
2551	85.118	2566	85.619
2566	85.619	2581	86.119
2581	86.119	2596	86.620
2596	86.620	2611	87.120
2611	87.120	2626	87.621
2626	87.621	2641	88.121
2641	88.121	2656	88.622
2656	88.622	2671	89.122
2671	89.122	2686	89.623
2686	89.623	2701	90.123
2701	90.123	2716	90.624
2716	90.624	2731	91.124
2731	91.124	2746	91.625
2746	91.625	2761	92.125
2761	92.125	2776	92.626
2776	92.626	2791	93.126
2791	93.126	2806	93.627
2806	93.627	2821	94.127
2821	94.127	2839	94.728
2839	94.728	2854	95.228
2854	95.228	2869	95.729
2869	95.729	2886	96.296
2886	96.296	2901	96.797
2901	96.797	2916	97.297
2916	97.297	2931	97.798
2931	97.798	2946	98.298
2946	98.298	2961	98.799
2961	98.799	2976	99.299
2976	99.299	2991	99.800
2991	99.800	3006	100.300
3006	100.300	3021	100.801
3021	100.801	3036	101.301
3036	101.301	3051	101.802
3051	101.802	3066	102.302
3066	102.302	3081	102.803
3081	102.803	3096	103.303
3096	103.303	3111	103.804
3111	103.804	3126	104.304
3126	104.304	3141	104.805
3141	104.805	3156	105.305
3156	105.305	3171	105.806
3171	105.806	3186	106.306
3186	106.306	3201	106.807
3201	106.807	3216	107.307
3216	107.307	3231	107.808
3231	107.808	3250	108.442
3250	108.442	3265	108.942
3265	108.942	3280	109.443
3280	109.443	3295	109.943
3295	109.943	3310	110.444
3310	110.444	3325	110.944
3325	110.944	3340	111.445
3340	111.445	3355	111.945
3355	111.945	3371	112.479
3371	112.479	3417	114.014
3417	114.014	3482	116.183
3482	116.183	3499	116.750
3499	116.750	3555	118.618
3555	118.618	3619	120.754
3619	120.754	3634	121.254
3634	121.254	3649	121.755
3649	121.755	3664	122.255
3664	122.255	3679	122.756
3679	122.756	3694	123.256
3694	123.256	3709	123.757
3709	123.757	3724	124.257
3724	124.257	3739	124.758
3739	124.758	3754	125.258
3754	125.258	3769	125.759
3769	125.759	3784	126.259
3784	126.259	3799	126.760
3799	126.760	3814	127.260
3814	127.260	3829	127.761
3829	127.761	3844	128.261
3844	128.261	3859	128.762
3859	128.762	3874	129.262
3874	129.262	3889	129.763
3889	129.763	3904	130.263
3904	130.263	3919	130.764
3919	130.764	3934	131.264
3934	131.264	3949	131.765
3949	131.765	3964	132.265
3964	132.265	3979	132.766
3979	132.766	3994	133.266
3994	133.266	4009	133.767
4009	133.767	4024	134.267
4024	134.267	4039	134.768
4039	134.768	4054	135.268
4054	135.268	4069	135.769
4069	135.769	4084	136.269
4084	136.269	4099	136.770
4099	136.770	4114	137.270
4114	137.270	4129	137.771
4129	137.771	4144	138.271
4144	138.271	4159	138.772
4159	138.772	4174	139.272
4174	139.272	4189	139.773
4189	139.773	4204	140.273
4204	140.273	4219	140.774
4219	140.774	4234	141.274
4234	141.274	4249	141.775
4249	141.775	4264	142.275
4264	142.275	4279	142.776
4279	142.776	4294	143.276
4294	143.276	4309	143.777
4309	143.777	4324	144.277
4324	144.277	4395	146.647
4395	146.647	4453	148.582
4453	148.582	4468	149.082
4468	149.082	4483	149.583
4483	149.583	4498	150.083
4498	150.083	4513	150.584
4513	150.584	4528	151.084
4528	151.084	4543	151.585
4543	151.585	4558	152.085
4558	152.085	4573	152.586
4573	152.586	4588	153.086
4588	153.086	4603	153.587
4603	153.587	4618	154.087
4618	154.087	4711	157.190
4711	157.190	4771	159.192
4771	159.192	4786	159.693
4786	159.693	4801	160.193
4801	160.193	4822	160.894
4822	160.894	4837	161.395
4837	161.395	4871	162.529
4871	162.529	4889	163.130
4889	163.130	4904	163.630
4904	163.630	4919	164.131
4919	164.131	4934	164.631
4934	164.631	4954	165.298
4954	165.298	4980	166.166
4980	166.166	5010	167.167
5010	167.167	5056	168.702
5056	168.702	5071	169.202
5071	169.202	5108	170.437
5108	170.437	5123	170.937
5123	170.937	5158	172.105
5158	172.105	5188	173.106
5188	173.106	5203	173.607
5203	173.607	5218	174.107
5218	174.107	5233	174.608
5233	174.608	5248	175.108
5248	175.108	5263	175.609
5263	175.609	5278	176.109
5278	176.109	5293	176.610
5293	176.610	5308	177.110
5308	177.110	5323	177.611
5323	177.611	5341	178.211
5341	178.211	5406	180.380
5406	180.380	5430	181.181
5430	181.181	5490	183.183
5490	183.183	5505	183.684
5505	183.684	5521	184.217
5521	184.217	5610	187.187
5610	187.187	5633	187.954
5633	187.954	5688	189.790
