startframe	starttime	endframe	endtime
0	0.000	61	2.035
61	2.035	76	2.536
76	2.536	91	3.036
91	3.036	106	3.537
106	3.537	121	4.037
121	4.037	136	4.538
136	4.538	151	5.038
151	5.038	166	5.539
166	5.539	181	6.039
181	6.039	196	6.540
196	6.540	211	7.040
211	7.040	226	7.541
226	7.541	241	8.041
241	8.041	256	8.542
256	8.542	271	9.042
271	9.042	286	9.543
286	9.543	301	10.043
301	10.043	316	10.544
316	10.544	331	11.044
331	11.044	346	11.545
346	11.545	372	12.412
372	12.412	387	12.913
387	12.913	411	13.714
411	13.714	451	15.048
451	15.048	466	15.549
466	15.549	482	16.083
482	16.083	498	16.617
498	16.617	514	17.150
514	17.150	530	17.684
530	17.684	546	18.218
546	18.218	562	18.752
562	18.752	578	19.286
578	19.286	596	19.887
596	19.887	614	20.487
614	20.487	632	21.088
632	21.088	657	21.922
657	21.922	672	22.422
672	22.422	688	22.956
688	22.956	704	23.490
704	23.490	720	24.024
720	24.024	736	24.558
736	24.558	752	25.092
752	25.092	768	25.626
768	25.626	784	26.159
784	26.159	800	26.693
800	26.693	816	27.227
816	27.227	832	27.761
832	27.761	850	28.362
850	28.362	866	28.896
866	28.896	886	29.563
886	29.563	904	30.163
904	30.163	920	30.697
920	30.697	938	31.298
938	31.298	954	31.832
954	31.832	970	32.366
970	32.366	986	32.900
986	32.900	1002	33.433
1002	33.433	1018	33.967
1018	33.967	1034	34.501
1034	34.501	1049	35.002
1049	35.002	1065	35.535
1065	35.535	1081	36.069
1081	36.069	1097	36.603
1097	36.603	1113	37.137
1113	37.137	1129	37.671
1129	37.671	1144	38.171
1144	38.171	1159	38.672
1159	38.672	1174	39.172
1174	39.172	1189	39.673
1189	39.673	1205	40.207
1205	40.207	1221	40.741
1221	40.741	1237	41.275
1237	41.275	1253	41.808
1253	41.808	1269	42.342
1269	42.342	1284	42.843
1284	42.843	1299	43.343
1299	43.343	1314	43.844
1314	43.844	1329	44.344
1329	44.344	1351	45.078
1351	45.078	1366	45.579
1366	45.579	1381	46.079
1381	46.079	1397	46.613
1397	46.613	1413	47.147
1413	47.147	1429	47.681
1429	47.681	1455	48.549
1455	48.549	1471	49.082
1471	49.082	1534	51.184
1534	51.184	1549	51.685
1549	51.685	1564	52.185
1564	52.185	1579	52.686
1579	52.686	1594	53.186
1594	53.186	1609	53.687
1609	53.687	1624	54.187
1624	54.187	1639	54.688
1639	54.688	1655	55.222
1655	55.222	1670	55.722
1670	55.722	1685	56.223
1685	56.223	1700	56.723
1700	56.723	1718	57.324
1718	57.324	1733	57.824
1733	57.824	1748	58.325
1748	58.325	1792	59.793
1792	59.793	1807	60.294
1807	60.294	1823	60.827
1823	60.827	1839	61.361
1839	61.361	1855	61.895
1855	61.895	1870	62.396
1870	62.396	1885	62.896
1885	62.896	1900	63.397
1900	63.397	1915	63.897
1915	63.897	1930	64.398
1930	64.398	1945	64.898
1945	64.898	1960	65.399
1960	65.399	1975	65.899
1975	65.899	1990	66.400
1990	66.400	2005	66.900
2005	66.900	2021	67.434
2021	67.434	2036	67.935
2036	67.935	2051	68.435
2051	68.435	2066	68.936
